Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9
3-комн. апарт., 50 м?, 16/19 этаж;3-комн. апартаменты, 50 м?;Москва, ЗАО, р-н Проспект Вернадского, Ленинский просп., 94А;3 100 ?/сутки;16 из 19;50 м?;сегодня, 14:02;https://www.cian.ru/rent/flat/207761715/;['https://cdn-p.cian.site/images/8/734/596/kvartira-moskva-leninskiy-prospekt-695437827-4.jpg', 'https://cdn-p.cian.site/images/8/734/596/kvartira-moskva-leninskiy-prospekt-695437827-4.jpg', 'https://cdn-p.cian.site/images/8/734/596/kvartira-moskva-leninskiy-prospekt-695437826-2.jpg', 'https://cdn-p.cian.site/images/8/734/596/kvartira-moskva-leninskiy-prospekt-695437825-2.jpg', 'https://cdn-p.cian.site/images/8/734/596/kvartira-moskva-leninskiy-prospekt-695437828-2.jpg']
;;;;;;;;
АКЦИЯ -200 рублей от стоимости*;1-комн. квартира, 42 м?;Москва, ЮВАО, р-н Марьино, Батайский проезд, 37;2 700 ?/сутки;1 из 17;42 м?;сегодня, 21:45;https://www.cian.ru/rent/flat/221812276/;['https://cdn-p.cian.site/images/1/656/108/kvartira-moskva-batayskiy-proezd-801656167-4.jpg', 'https://cdn-p.cian.site/images/1/656/108/kvartira-moskva-batayskiy-proezd-801656167-4.jpg', 'https://cdn-p.cian.site/images/1/656/108/kvartira-moskva-batayskiy-proezd-801656168-2.jpg', 'https://cdn-p.cian.site/images/1/656/108/kvartira-moskva-batayskiy-proezd-801656178-2.jpg', 'https://cdn-p.cian.site/images/1/656/108/kvartira-moskva-batayskiy-proezd-801656176-2.jpg', 'https://www.cian.ru/avatar.axd?i=204822&t=2&p=2']
;;;;;;;;
Романтик, набережная;1-комн. апартаменты, 33 м?;Москва, СЗАО, р-н Хорошево-Мневники, Шелепихинская наб., 34;4 400 ?/сутки;10 из 37;33 м?;сегодня, 14:48;https://www.cian.ru/rent/flat/217838689/;['https://cdn-p.cian.site/images/0/335/457/kvartira-moskva-shelepihinskaya-naberezhnaya-754533034-4.jpg', 'https://cdn-p.cian.site/images/0/335/457/kvartira-moskva-shelepihinskaya-naberezhnaya-754533034-4.jpg', 'https://cdn-p.cian.site/images/0/335/457/kvartira-moskva-shelepihinskaya-naberezhnaya-754533034-2.jpg', 'https://cdn-p.cian.site/images/0/335/457/kvartira-moskva-shelepihinskaya-naberezhnaya-754533036-2.jpg', 'https://cdn-p.cian.site/images/0/335/457/kvartira-moskva-shelepihinskaya-naberezhnaya-754533018-2.jpg', 'https://www.cian.ru/avatar.axd?i=209282&t=2&p=2']
;;;;;;;;
1-комн. кв., 45 м?, 4/25 этаж;1-комн. квартира, 45 м?;Москва, ЗАО, р-н Кунцево, Ярцевская ул., 24К2;2 500 ?/сутки;4 из 25;45 м?;сегодня, 11:31;https://www.cian.ru/rent/flat/225911245/;['https://cdn-p.cian.site/images/0/079/628/kvartira-moskva-yarcevskaya-ulica-826970047-4.jpg', 'https://cdn-p.cian.site/images/0/079/628/kvartira-moskva-yarcevskaya-ulica-826970047-4.jpg', 'https://cdn-p.cian.site/images/9/969/628/kvartira-moskva-yarcevskaya-ulica-826969973-2.jpg', 'https://cdn-p.cian.site/images/0/079/628/kvartira-moskva-yarcevskaya-ulica-826970055-2.jpg', 'https://cdn-p.cian.site/images/0/079/628/kvartira-moskva-yarcevskaya-ulica-826970075-2.jpg', 'https://www.cian.ru/avatar.axd?i=591370&t=2&p=2']
;;;;;;;;
АКЦИЯ -200 рублей от стоимости*;2-комн. квартира, 56 м?;Москва, ВАО, р-н Перово, 3-я Владимирская ул., 26К1;3 000 ?/сутки;1 из 5;56 м?;сегодня, 19:06;https://www.cian.ru/rent/flat/227822643/;['https://cdn-p.cian.site/images/9/745/448/kvartira-moskva-3ya-vladimirskaya-ulica-844547956-4.jpg', 'https://cdn-p.cian.site/images/9/745/448/kvartira-moskva-3ya-vladimirskaya-ulica-844547956-4.jpg', 'https://cdn-p.cian.site/images/9/745/448/kvartira-moskva-3ya-vladimirskaya-ulica-844547902-2.jpg', 'https://cdn-p.cian.site/images/9/745/448/kvartira-moskva-3ya-vladimirskaya-ulica-844547908-2.jpg', 'https://cdn-p.cian.site/images/9/745/448/kvartira-moskva-3ya-vladimirskaya-ulica-844547930-2.jpg', 'https://www.cian.ru/avatar.axd?i=204822&t=2&p=2']
;;;;;;;;
"Апарт- Отель  ""Волга """;1-комн. квартира, 25 м?;Москва, ЦАО, р-н Красносельский, пер. Докучаев, 2;3 000 ?/сутки;3 из 17;25 м?;сегодня, 14:02;https://www.cian.ru/rent/flat/163601431/;['https://cdn-p.cian.site/images/4/048/603/kvartira-moskva-pereulok-dokuchaev-306840458-4.jpg', 'https://cdn-p.cian.site/images/4/048/603/kvartira-moskva-pereulok-dokuchaev-306840458-4.jpg', 'https://cdn-p.cian.site/images/4/048/603/kvartira-moskva-pereulok-dokuchaev-306840461-2.jpg', 'https://cdn-p.cian.site/images/4/048/603/kvartira-moskva-pereulok-dokuchaev-306840453-2.jpg', 'https://cdn-p.cian.site/images/4/048/603/kvartira-moskva-pereulok-dokuchaev-306840454-2.jpg', 'https://www.cian.ru/avatar.axd?i=138163&t=2&p=2']
;;;;;;;;
АКЦИЯ -200 рублей от стоимости*;1-комн. квартира, 20 м?;Москва, ВАО, р-н Восточное Измайлово, 12-я Парковая ул., 5;1 800 ?/сутки;3 из 5;20 м?;сегодня, 19:46;https://www.cian.ru/rent/flat/244496940/;['https://cdn-p.cian.site/images/7/490/189/posutochnaja-kvartira-moskva-12ya-parkovaya-ulica-981094749-4.jpg', 'https://cdn-p.cian.site/images/7/490/189/posutochnaja-kvartira-moskva-12ya-parkovaya-ulica-981094749-4.jpg', 'https://cdn-p.cian.site/images/7/490/189/posutochnaja-kvartira-moskva-12ya-parkovaya-ulica-981094761-2.jpg', 'https://cdn-p.cian.site/images/7/490/189/posutochnaja-kvartira-moskva-12ya-parkovaya-ulica-981094747-2.jpg', 'https://cdn-p.cian.site/images/7/490/189/posutochnaja-kvartira-moskva-12ya-parkovaya-ulica-981094705-2.jpg', 'https://www.cian.ru/avatar.axd?i=204822&t=2&p=2']
;;;;;;;;
1-ый дом от метро! Свободна!;1-комн. квартира, 34 м?;Москва, СВАО, р-н Бабушкинский, Енисейская ул., 17К2;2 147 ?/сутки;8 из 9;34 м?;вчера, 17:26;https://www.cian.ru/rent/flat/195327184/;['https://cdn-p.cian.site/images/4/274/128/kvartira-moskva-eniseyskaya-ulica-821472466-4.jpg', 'https://cdn-p.cian.site/images/4/274/128/kvartira-moskva-eniseyskaya-ulica-821472466-4.jpg', 'https://cdn-p.cian.site/images/4/274/128/kvartira-moskva-eniseyskaya-ulica-821472469-2.jpg', 'https://cdn-p.cian.site/images/5/274/128/kvartira-moskva-eniseyskaya-ulica-821472532-2.jpg', 'https://cdn-p.cian.site/images/5/274/128/kvartira-moskva-eniseyskaya-ulica-821472504-2.jpg', 'https://www.cian.ru/avatar.axd?i=234647&t=2&p=2']
;;;;;;;;
Двухуровневая квартира на Лубянке;4-комн. квартира, 100 м?;Москва, ЦАО, р-н Басманный, Армянский пер., 1/8С1;7 900 ?/сутки;2 из 2;100 м?;сегодня, 05:31;https://www.cian.ru/rent/flat/196961629/;['https://cdn-p.cian.site/images/7/470/106/kvartira-moskva-armyanskiy-pereulok-601074737-4.jpg', 'https://cdn-p.cian.site/images/7/470/106/kvartira-moskva-armyanskiy-pereulok-601074737-4.jpg', 'https://cdn-p.cian.site/images/42/927/301/posutochnaja-kvartira-moskva-armyanskiy-pereulok-1037292417-2.jpg', 'https://cdn-p.cian.site/images/7/470/106/kvartira-moskva-armyanskiy-pereulok-601074754-2.jpg', 'https://cdn-p.cian.site/images/7/470/106/kvartira-moskva-armyanskiy-pereulok-601074751-2.jpg', 'https://www.cian.ru/avatar.axd?i=366151&t=2&p=2']
;;;;;;;;
Чистая квартира, свежее белье;1-комн. квартира, 40 м?;Москва, САО, р-н Аэропорт, Планетная ул., 47К2;3 000 ?/сутки;1 из 9;40 м?;сегодня, 13:02;https://www.cian.ru/rent/flat/157561548/;['https://cdn-p.cian.site/images/5/822/542/kvartira-moskva-planetnaya-ulica-245228541-4.jpg', 'https://cdn-p.cian.site/images/5/822/542/kvartira-moskva-planetnaya-ulica-245228541-4.jpg', 'https://cdn-p.cian.site/images/5/822/542/kvartira-moskva-planetnaya-ulica-245228540-2.jpg', 'https://cdn-p.cian.site/images/5/822/542/kvartira-moskva-planetnaya-ulica-245228544-2.jpg', 'https://cdn-p.cian.site/images/5/822/542/kvartira-moskva-planetnaya-ulica-245228548-2.jpg', 'https://www.cian.ru/avatar.axd?i=138163&t=2&p=2']
;;;;;;;;
Топовая квартира;1-комн. квартира, 35 м?;Москва, САО, р-н Беговой, Беговая ул., 6;3 500 ?/сутки;12 из 12;35 м?;вчера, 13:46;https://www.cian.ru/rent/flat/240345246/;['https://cdn-p.cian.site/images/6/462/159/kvartira-moskva-begovaya-ulica-951264619-4.jpg', 'https://cdn-p.cian.site/images/6/462/159/kvartira-moskva-begovaya-ulica-951264619-4.jpg', 'https://cdn-p.cian.site/images/6/462/159/kvartira-moskva-begovaya-ulica-951264619-2.jpg', 'https://cdn-p.cian.site/images/6/462/159/kvartira-moskva-begovaya-ulica-951264620-2.jpg', 'https://cdn-p.cian.site/images/6/462/159/kvartira-moskva-begovaya-ulica-951264622-2.jpg', 'https://www.cian.ru/avatar.axd?i=138163&t=2&p=2']
;;;;;;;;
АКЦИЯ -200 рублей от стоимости*;1-комн. квартира, 22 м?;Москва, САО, р-н Дмитровский, Дмитровское ш., 107Ак5;2 000 ?/сутки;15 из 25;22 м?;вчера, 20:45;https://www.cian.ru/rent/flat/239442155/;['https://cdn-p.cian.site/images/0/848/839/kvartira-moskva-dmitrovskoe-shosse-938848050-4.jpg', 'https://cdn-p.cian.site/images/0/848/839/kvartira-moskva-dmitrovskoe-shosse-938848050-4.jpg', 'https://cdn-p.cian.site/images/0/848/839/kvartira-moskva-dmitrovskoe-shosse-938848050-2.jpg', 'https://cdn-p.cian.site/images/0/848/839/kvartira-moskva-dmitrovskoe-shosse-938848073-2.jpg', 'https://cdn-p.cian.site/images/0/848/839/kvartira-moskva-dmitrovskoe-shosse-938848090-2.jpg', 'https://www.cian.ru/avatar.axd?i=204822&t=2&p=2']
;;;;;;;;
Самая лучшая и настоящая в Москве;2-комн. квартира, 45 м?;Москва, ЦАО, р-н Пресненский, Большая Грузинская ул., 16;4 500 ?/сутки;14 из 14;45 м?;сегодня, 13:31;https://www.cian.ru/rent/flat/245881381/;['https://cdn-p.cian.site/images/9/750/099/posutochnaja-kvartira-moskva-bolshaya-gruzinskaya-ulica-990057984-4.jpg', 'https://cdn-p.cian.site/images/9/750/099/posutochnaja-kvartira-moskva-bolshaya-gruzinskaya-ulica-990057984-4.jpg', 'https://cdn-p.cian.site/images/9/750/099/posutochnaja-kvartira-moskva-bolshaya-gruzinskaya-ulica-990057998-2.jpg', 'https://cdn-p.cian.site/images/0/850/099/posutochnaja-kvartira-moskva-bolshaya-gruzinskaya-ulica-990058001-2.jpg', 'https://cdn-p.cian.site/images/9/750/099/posutochnaja-kvartira-moskva-bolshaya-gruzinskaya-ulica-990057982-2.jpg', 'https://www.cian.ru/avatar.axd?i=138163&t=2&p=2']
;;;;;;;;
АКЦИЯ -200 рублей от стоимости*;2-комн. квартира, 50 м?;Москва, СВАО, р-н Алексеевский, просп. Мира, 182К2;3 500 ?/сутки;10 из 12;50 м?;сегодня, 18:55;https://www.cian.ru/rent/flat/237597139/;['https://cdn-p.cian.site/images/8/036/329/kvartira-moskva-prospekt-mira-923630880-4.jpg', 'https://cdn-p.cian.site/images/8/036/329/kvartira-moskva-prospekt-mira-923630880-4.jpg', 'https://cdn-p.cian.site/images/7/036/329/kvartira-moskva-prospekt-mira-923630732-2.jpg', 'https://cdn-p.cian.site/images/8/036/329/kvartira-moskva-prospekt-mira-923630889-2.jpg', 'https://cdn-p.cian.site/images/8/036/329/kvartira-moskva-prospekt-mira-923630883-2.jpg', 'https://www.cian.ru/avatar.axd?i=204822&t=2&p=2']
;;;;;;;;
АКЦИЯ -200 рублей от стоимости*;1-комн. квартира, 22 м?;Москва, САО, р-н Дмитровский, Дмитровское ш., 107Ак5;2 000 ?/сутки;15 из 25;22 м?;сегодня, 20:11;https://www.cian.ru/rent/flat/239005502/;['https://cdn-p.cian.site/images/0/134/539/kvartira-moskva-dmitrovskoe-shosse-935431072-4.jpg', 'https://cdn-p.cian.site/images/0/134/539/kvartira-moskva-dmitrovskoe-shosse-935431072-4.jpg', 'https://cdn-p.cian.site/images/0/134/539/kvartira-moskva-dmitrovskoe-shosse-935431085-2.jpg', 'https://cdn-p.cian.site/images/0/134/539/kvartira-moskva-dmitrovskoe-shosse-935431072-2.jpg', 'https://cdn-p.cian.site/images/0/134/539/kvartira-moskva-dmitrovskoe-shosse-935431069-2.jpg', 'https://www.cian.ru/avatar.axd?i=204822&t=2&p=2']
;;;;;;;;
1-комн. апарт., 14 м?, 4/4 этаж;1-комн. апартаменты, 14 м?;Москва, ЦАО, р-н Басманный, Балакиревский пер., 23;1 890 ?/сутки;4 из 4;14 м?;сегодня, 14:21;https://www.cian.ru/rent/flat/251530698/;['https://cdn-p.cian.site/images/47/749/301/posutochnaja-kvartira-moskva-balakirevskiy-pereulok-1039477441-4.jpg', 'https://cdn-p.cian.site/images/47/749/301/posutochnaja-kvartira-moskva-balakirevskiy-pereulok-1039477441-4.jpg', 'https://cdn-p.cian.site/images/47/749/301/posutochnaja-kvartira-moskva-balakirevskiy-pereulok-1039477485-2.jpg', 'https://cdn-p.cian.site/images/47/749/301/posutochnaja-kvartira-moskva-balakirevskiy-pereulok-1039477427-2.jpg', 'https://cdn-p.cian.site/images/47/749/301/posutochnaja-kvartira-moskva-balakirevskiy-pereulok-1039477481-2.jpg', 'https://www.cian.ru/avatar.axd?i=234647&t=2&p=2']
;;;;;;;;
Уютная квартира м. Тульская;1-комн. квартира, 35 м?;Москва, ЮАО, р-н Даниловский, ул. Серпуховский Вал, 14;2 800 ?/сутки;8 из 16;35 м?;сегодня, 06:26;https://www.cian.ru/rent/flat/195399172/;['https://cdn-p.cian.site/images/4/703/975/kvartira-moskva-ulica-serpuhovskiy-val-579307494-4.jpg', 'https://cdn-p.cian.site/images/4/703/975/kvartira-moskva-ulica-serpuhovskiy-val-579307494-4.jpg', 'https://cdn-p.cian.site/images/4/703/975/kvartira-moskva-ulica-serpuhovskiy-val-579307495-2.jpg', 'https://cdn-p.cian.site/images/4/703/975/kvartira-moskva-ulica-serpuhovskiy-val-579307496-2.jpg', 'https://cdn-p.cian.site/images/4/703/975/kvartira-moskva-ulica-serpuhovskiy-val-579307498-2.jpg', 'https://www.cian.ru/avatar.axd?i=120092&t=2&p=2']
;;;;;;;;
Центр здоровья детей РАМН 5 минут;1-комн. квартира, 35 м?;Москва, ЮЗАО, р-н Гагаринский, ул. Вавилова, 54К1;3 200 ?/сутки;2 из 9;35 м?;вчера, 15:51;https://www.cian.ru/rent/flat/153047755/;['https://cdn-p.cian.site/images/7/487/002/kvartira-moskva-ulica-vavilova-200784723-4.jpg', 'https://cdn-p.cian.site/images/7/487/002/kvartira-moskva-ulica-vavilova-200784723-4.jpg', 'https://cdn-p.cian.site/images/7/487/002/kvartira-moskva-ulica-vavilova-200784728-2.jpg', 'https://cdn-p.cian.site/images/7/487/002/kvartira-moskva-ulica-vavilova-200784721-2.jpg', 'https://cdn-p.cian.site/images/7/487/002/kvartira-moskva-ulica-vavilova-200784724-2.jpg', 'https://www.cian.ru/avatar.axd?i=138163&t=2&p=2']
;;;;;;;;
АКЦИЯ -200 рублей от стоимости*;1-комн. квартира, 25,5 м?;Москва, ВАО, р-н Восточное Измайлово, 12-я Парковая ул., 5;2 200 ?/сутки;4 из 5;25,5 м?;сегодня, 19:31;https://www.cian.ru/rent/flat/243377802/;['https://cdn-p.cian.site/images/2/176/079/kvartira-moskva-12ya-parkovaya-ulica-970671208-4.jpg', 'https://cdn-p.cian.site/images/2/176/079/kvartira-moskva-12ya-parkovaya-ulica-970671208-4.jpg', 'https://cdn-p.cian.site/images/2/176/079/kvartira-moskva-12ya-parkovaya-ulica-970671246-2.jpg', 'https://cdn-p.cian.site/images/2/176/079/kvartira-moskva-12ya-parkovaya-ulica-970671248-2.jpg', 'https://cdn-p.cian.site/images/2/176/079/kvartira-moskva-12ya-parkovaya-ulica-970671249-2.jpg', 'https://www.cian.ru/avatar.axd?i=204822&t=2&p=2']
;;;;;;;;
АКЦИЯ -200 рублей в сутки *;1-комн. квартира, 40 м?;Москва, ЮЗАО, р-н Северное Бутово, ул. Грина, 34К1;2 500 ?/сутки;6 из 12;40 м?;сегодня, 03:43;https://www.cian.ru/rent/flat/204975649/;['https://cdn-p.cian.site/images/8/940/917/kvartira-moskva-ulica-grina-719049872-4.jpg', 'https://cdn-p.cian.site/images/8/940/917/kvartira-moskva-ulica-grina-719049872-4.jpg', 'https://cdn-p.cian.site/images/8/940/917/kvartira-moskva-ulica-grina-719049872-2.jpg', 'https://cdn-p.cian.site/images/8/940/917/kvartira-moskva-ulica-grina-719049874-2.jpg', 'https://cdn-p.cian.site/images/8/940/917/kvartira-moskva-ulica-grina-719049875-2.jpg', 'https://www.cian.ru/avatar.axd?i=204822&t=2&p=2']
;;;;;;;;
Самая лучшая и настоящая в Москве;1-комн. квартира, 35 м?;Москва, ЦАО, р-н Пресненский, Шмитовский проезд, 13;3 500 ?/сутки;2 из 6;35 м?;сегодня, 13:16;https://www.cian.ru/rent/flat/237211421/;['https://cdn-p.cian.site/images/9/844/329/kvartira-moskva-shmitovskiy-proezd-923448969-4.jpg', 'https://cdn-p.cian.site/images/9/844/329/kvartira-moskva-shmitovskiy-proezd-923448969-4.jpg', 'https://cdn-p.cian.site/images/9/844/329/kvartira-moskva-shmitovskiy-proezd-923448929-2.jpg', 'https://cdn-p.cian.site/images/9/844/329/kvartira-moskva-shmitovskiy-proezd-923448966-2.jpg', 'https://cdn-p.cian.site/images/9/844/329/kvartira-moskva-shmitovskiy-proezd-923448960-2.jpg', 'https://www.cian.ru/avatar.axd?i=138163&t=2&p=2']
;;;;;;;;
2-комн. кв., 50 м?, 2/9 этаж;2-комн. квартира, 50 м?;Москва, ЦАО, р-н Арбат, 1-й Смоленский пер., 13;3 700 ?/сутки;2 из 9;50 м?;сегодня, 14:36;https://www.cian.ru/rent/flat/169043778/;['https://cdn-p.cian.site/images/9/607/127/kvartira-moskva-1y-smolenskiy-pereulok-721706990-4.jpg', 'https://cdn-p.cian.site/images/9/607/127/kvartira-moskva-1y-smolenskiy-pereulok-721706990-4.jpg', 'https://cdn-p.cian.site/images/8/607/127/kvartira-moskva-1y-smolenskiy-pereulok-721706886-2.jpg', 'https://cdn-p.cian.site/images/8/607/127/kvartira-moskva-1y-smolenskiy-pereulok-721706891-2.jpg', 'https://cdn-p.cian.site/images/8/607/127/kvartira-moskva-1y-smolenskiy-pereulok-721706885-2.jpg', 'https://www.cian.ru/avatar.axd?i=209282&t=2&p=2']
;;;;;;;;
АКЦИЯ -200 рублей от стоимости*;1-комн. квартира, 52 м?;Москва, ВАО, р-н Северное Измайлово, 5-я Парковая ул., 54К3;2 500 ?/сутки;4 из 5;52 м?;вчера, 22:29;https://www.cian.ru/rent/flat/240901542/;['https://cdn-p.cian.site/images/9/502/159/kvartira-moskva-5ya-parkovaya-ulica-951205938-4.jpg', 'https://cdn-p.cian.site/images/9/502/159/kvartira-moskva-5ya-parkovaya-ulica-951205938-4.jpg', 'https://cdn-p.cian.site/images/9/502/159/kvartira-moskva-5ya-parkovaya-ulica-951205975-2.jpg', 'https://cdn-p.cian.site/images/9/502/159/kvartira-moskva-5ya-parkovaya-ulica-951205976-2.jpg', 'https://cdn-p.cian.site/images/9/502/159/kvartira-moskva-5ya-parkovaya-ulica-951205987-2.jpg', 'https://www.cian.ru/avatar.axd?i=204822&t=2&p=2']
;;;;;;;;
Новинка , свежий ремонт .;1-комн. квартира, 35 м?;Москва, САО, р-н Аэропорт, Балтийская ул., 6К3;3 500 ?/сутки;6 из 8;35 м?;сегодня, 13:06;https://www.cian.ru/rent/flat/248159560/;['https://cdn-p.cian.site/images/26/025/601/posutochnaja-kvartira-moskva-baltiyskaya-ulica-1065206237-4.jpg', 'https://cdn-p.cian.site/images/26/025/601/posutochnaja-kvartira-moskva-baltiyskaya-ulica-1065206237-4.jpg', 'https://cdn-p.cian.site/images/26/025/601/posutochnaja-kvartira-moskva-baltiyskaya-ulica-1065206228-2.jpg', 'https://cdn-p.cian.site/images/26/025/601/posutochnaja-kvartira-moskva-baltiyskaya-ulica-1065206213-2.jpg', 'https://cdn-p.cian.site/images/26/025/601/posutochnaja-kvartira-moskva-baltiyskaya-ulica-1065206216-2.jpg', 'https://www.cian.ru/avatar.axd?i=138163&t=2&p=2']
